16.0.10367.20000,October 2020 CU,2020 October 1,SharePoint Server 2019 (Language Dependent),KB 4486675
16.0.10366.12106,September 2020 CU,2020 September 1,SharePoint Server 2019 (Language Dependent),KB 4484504
16.0.10364.20001,August 2020 CU,2020 August 1,SharePoint Server 2019 (Language Dependent),KB 4484471
16.0.10363.12107,July 2020 CU,2020 July 1,SharePoint Server 2019 (Language Independent),KB 4484453
16.0.10361.12114,June 2020 CU,2020 June 1,SharePoint Server 2019 (Language Independent),KB 4484400
16.0.10359.20000,May 2020 CU,2020 May 1,SharePoint Server 2019 (Language Dependent),KB 4484331
16.0.10358.20000,April 2020 CU,2020 April 1,SharePoint Server 2019 (Language Dependent),KB 4484291
16.0.10357.20002,March 2020 CU,2020 March 1,SharePoint Server 2019 (Language Dependent),KB 4484277
16.0.10355.20000,February 2020 CU,2020 February 1,SharePoint Server 2019 (Office Online Server February 2020 Patc),KB 4484254
16.0.10354.20000,January 2020 CU,2020 January 1,SharePoint Server 2019 (Language Independent),KB 4484224
16.0.10353.20001,December 2019 CU,2019 December 1,SharePoint Server 2019 (Language Dependent),KB 4484176
16.0.10352.20000,November 2019 CU,2019 November 1,SharePoint Server 2019 (Language Dependent),KB 4484149
16.0.10351.20000,October 2019 CU,2019 October 1,SharePoint Server 2019 (Language Dependent),KB 4484109
16.0.10350.20000,September 2019 CU,2019 September 1,SharePoint Server 2019 (Language Dependent Files),KB 4464557
16.0.10349.20000,August 2019 CU,2019 August 1,SharePoint Server 2019 (Language Independent Files),KB 4475555
16.0.10345.12101,May 2019 CU,2019 May 1,SharePoint Server 2019 (Office Online Server May 2019 Patc),KB 4462169
16.0.10343.20000,April 2019 CU,2019 April 1,SharePoint Server 2019 (Language Dependent),KB 4462221
16.0.10342.12113,March 2019 CU,2019 March 1,SharePoint Server 2019 (Language Independent),KB 4462199
16.0.10341.20000,February 2019 CU,2019 February 1,SharePoint Server 2019 (Language Independent),KB 4462171
16.0.10340.12101,January 2019 CU,2019 January 1,SharePoint Server 2019 (Language Independent),KB 4461634
16.0.10339.12102,December 2018 CU,2018 December 1,SharePoint Server 2019 (December 2018 Patc),KB 4461548
16.0.10337.12109,October 2018,2018 October 22,Sharepoint 2019 RTM,RTM
16.0.5071.1001,October 2020 CU,2020 October 1,SharePoint Server 2016 (Language Dependent Files),KB 4486681
16.0.5056.1001,September 2020 CU,2020 September 1,SharePoint Server 2016 (Language Dependent Files),KB 4484512
16.0.5044.1001,August 2020 CU,2020 August 1,SharePoint Server 2016 (Language Dependent Files),KB 4484476
16.0.5032.1001,July 2020 CU,2020 July 1,SharePoint Server 2016 (Language Dependent Files),KB 4484440
16.0.5017.1001,June 2020 CU,2020 June 1,SharePoint Server 2016 (Language Dependent Files),KB 4484344
16.0.5005.1000,May 2020 CU,2020 May 1,SharePoint Server 2016 (Language Independent Files),KB 4484336
16.0.4993.1000,April 2020 CU,2020 April 1,SharePoint Server 2016 (Language Independent Files),KB 4484299
16.0.4978.1000,March 2020 CU,2020 March 1,SharePoint Server 2016 (Language Independent Files),KB 4484272
16.0.4966.1000,February 2020 CU,2020 February 1,SharePoint Server 2016 (Language Independent Files),KB 4484255
16.0.4954.1000,January 2020 CU,2020 January 1,SharePoint Server 2016 (Language Independent Files),KB 4484215
16.0.4939.1000,December 2019 CU,2019 December 1,SharePoint Server 2016 (Language Independent Files),KB 4484178
16.0.4927.1000,November 2019 CU,2019 November 1,SharePoint Server 2016 (Language Independent Files),KB 4484143
16.0.4912.1000,October 2019 CU,2019 October 1,SharePoint Server 2016 (Language Independent),KB 4484111
16.0.4900.1000,September 2019 CU,2019 September 1,SharePoint Server 2016 (Language Independent),KB 4475590
16.0.4888.1000,August 2019 CU,2019 August 1,SharePoint Server 2016 (Language Independent),KB 4475549
16.0.4861.1000,June 2019 CU,2019 June 1,SharePoint Server 2016 (Language Independent Files),KB 4464594
16.0.4834.1000,April 2019 CU,2019 April 1,SharePoint Server 2016 (Language Dependent Files),KB 4461507
16.0.4822.1000,March 2019 CU,2019 March 1,SharePoint Server 2016 (Language Independent Files),KB 4462211
16.0.4795.1001,January 2019 CU,2019 January 1,SharePoint Server 2016 (Language Independent Files),KB 4461598
16.0.4783.1000,December 2018 CU,2018 December 1,SharePoint Server 2016 (Language Independent Files),KB 4461541
16.0.4756.1002,October 2018 CU,2018 October 1,SharePoint Server 2016 (Language Dependent Files),KB 4092463
16.0.4744.1000,September 2018 CU,2018 September 1,SharePoint Server 2016 (Language Independent Files),KB 4092459
16.0.4732.1000,August 2018 CU,2018 August 1,SharePoint Server 2016 (Language Independent Files),KB 4032256
16.0.4705.1000,June 2018 CU,2018 June 1,SharePoint Server 2016 (Language Independent Files),KB 4022173
16.0.4690.1000,May 2018 CU,2018 May 1,SharePoint Server 2016 (Language Dependent Files),KB 4018386
16.0.4678.1000,April 2018 CU,2018 April 1,SharePoint Server 2016 (Language Dependent Files),KB 4018340
16.0.4666.1002,March 2018 CU,2018 March 1,SharePoint Server 2016 (Language Independent Files),KB 4018293
16.0.4639.1002,January 2018 CU,2018 January 1,SharePoint Server 2016 (Language Independent Files),KB 4011642
16.0.4627.1000,December 2017 CU,2017 December 1,SharePoint Server 2016 (Language Dependent Files),KB 4011578
16.0.4615.1000,November 2017 CU,2017 November 1,SharePoint Server 2016 (Language Dependent Files),KB 4011243
16.0.4600.1002,October 2017 CU,2017 October 1,SharePoint Server 2016 (Language Independent Files),KB 4011217
16.0.4588.1000,September 2017 CU,2017 September 1,SharePoint Server 2016 (Language Dependent Files),KB 4011112
16.0.4573.1000,August 2017 CU,2017 August 1,SharePoint Server 2016 (Language Dependent Files),KB 4011053
16.0.4561.1000,July 2017 CU,2017 July 1,SharePoint Server 2016 (Language Independent Files),KB 3213544
16.0.4549.1000,June 2017 CU,2017 June 1,SharePoint Server 2016 (Language Dependent Files),KB 3203433
16.0.4534.1000,May 2017 CU,2017 May 1,SharePoint Server 2016 (Language Independent Files),KB 3191880
16.0.4522.1000,April 2017 CU,2017 April 1,SharePoint Server 2016 (Language Dependent Files),KB 3178721
16.0.4510.1001,March 2017 CU,2017 March 1,SharePoint Server 2016 (Language Dependent Files),KB 3178675
16.0.4498.1002,February 2017 CU,2017 February 1,SharePoint Server 2016 (Language Dependent Files),KB 3141517
16.0.4483.1001,January 2017 CU,2017 January 1,SharePoint Server 2016 (Language Dependent Files),KB 3141487
16.0.4471.1000,December 2016 CU,2016 December 1,SharePoint Server 2016 (Language Dependant Files),KB 3128017
16.0.4456.1000,November 2016 CU,2016 November 1,SharePoint Server 2016 (Language Dependant Files),KB 3127942
16.0.4444.1004,October 2016 CU,2016 October 1,SharePoint Server 2016 (Language Independent Files),KB 3118372
16.0.4432.1000,September 2016 CU,2016 September 1,SharePoint Server 2016 (Language Independent Files),KB 3118289
16.0.4417.1000,August 2016 CU,2016 August 1,SharePoint Server 2016 (Language Independent Files),KB 3115437
16.0.4405.1000,July 2016 CU,2016 July 1,SharePoint Server 2016 (Language Dependent Files),KB 3115304
16.0.4393.1000,June 2016 CU,2016 June 1,SharePoint Server 2016 (Language Independent Files),KB 3115181
16.0.4378.1000,May 2016 CU,2016 May 1,SharePoint Server 2016 (Language Independent Files),KB 3115088
16.0.4351.1000,October 2020 CU,2020 October 1,SharePoint Server 2016,RTM
16.0.4327.1000,October 2020 CU,2020 October 1,SharePoint Server 2016,RC
16.0.4107.1002,October 2020 CU,2020 October 1,SharePoint Server 2016,IT Preview
15.0.5285.1000,October 2020 CU,2020 October 1,Sharepoint Server 2013,KB4486690
15.0.5267.1000,August 2020 CU,2020 August 1,Sharepoint Server 2013,KB4484482
15.0.5259.1001,July 2020 CU,2020 July 1,Sharepoint Server 2013,KB4484444
15.0.5249.1001,June 2020 CU,2020 June 1,Sharepoint Server 2013,KB4484406
15.0.5241.1000,May 2020 CU,2020 May 1,Sharepoint Server 2013,KB4484358
15.0.5233.1000,April 2020 CU,2020 April 1,Sharepoint Server 2013,KB4484309
15.0.5223.1000,March 2020 CU,2020 March 1,Sharepoint Server 2013,KB4484278
15.0.5215.1000,February 2020 CU,2020 February 1,Sharepoint Server 2013,KB4484261
15.0.5207.1000,January 2020 CU,2020 January 1,Sharepoint Server 2013,KB4484228
15.0.5197.1000,December 2019 CU,2019 December 1,Sharepoint Server 2013,KB4484185
15.0.5189.1000,November 2019 CU,2019 November 1,Sharepoint Server 2013,KB4484153
15.0.5179.1000,October 2019 CU,2019 October 1,Sharepoint Server 2013,KB4484118
15.0.5172.1000,September 2019 CU,2019 September 1,Sharepoint Server 2013,KB4475610
15.0.5163.1000,August 2019 CU,2019 August 1,Sharepoint Server 2013,KB4475559
15.0.5153.1000,July 2019 CU,2019 July 1,Sharepoint Server 2013,KB4475523
15.0.5145.1000,June 2019 CU,2019 June 1,Sharepoint Server 2013,KB4464598
15.0.5137.1000,May 2019 CU,2019 May 1,Sharepoint Server 2013,KB4464560
15.0.5127.1001,April 2019 CU,2019 April 1,Sharepoint Server 2013,KB4464512
15.0.5119.1001,March 2019 CU,2019 March 1,Sharepoint Server 2013,KB4462217
15.0.5111.1000,February 2019 CU,2019 February 1,Sharepoint Server 2013,KB4462150
15.0.5101.1000,January 2019 CU,2019 January 1,Sharepoint Server 2013,KB4461603
15.0.5093.1000,December 2018 CU,2018 December 1,Sharepoint Server 2013,KB4461552
15.0.5085.1000,November 2018 CU,2018 November 1,Sharepoint Server 2013,KB4461508
15.0.5075.1000,October 2018 CU,2018 October 1,Sharepoint Server 2013,KB4461455
15.0.5067.1000,September 2018 CU,2018 September 1,Sharepoint Server 2013,KB4092474
15.0.5059.1000,August 2018 CU,2018 August 1,Sharepoint Server 2013,KB4032244
15.0.5049.1001,July 2018 CU,2018 July 1,Sharepoint Server 2013,KB4022239
15.0.5041.1000,June 2018 CU,2018 June 1,Sharepoint Server 2013,KB4022184
15.0.5031.1001,May 2018 CU,2018 May 1,Sharepoint Server 2013,KB4018394
15.0.5023.1001,April 2018 CU,2018 April 1,Sharepoint Server 2013,KB4018345
15.0.5015.1000,March 2018 CU,2018 March 1,Sharepoint Server 2013,KB4018299
15.0.5007.1000,February 2018 CU,2018 February 1,Sharepoint Server 2013,KB4011693
15.0.4997.1001,January 2018 CU,2018 January 1,Sharepoint Server 2013,KB4011649
15.0.4989.1001,December 2017 CU,2017 December 1,Sharepoint Server 2013,KB4011588
15.0.4981.1002,November 2017 CU,2017 November 1,Sharepoint Server 2013,KB4011248
15.0.4971.1000,October 2017 CU,2017 October 1,Sharepoint Server 2013,KB4011173
15.0.4963.1000,September 2017 CU,2017 September 1,Sharepoint Server 2013,KB4011132
15.0.4953.1000,August 2017 CU,2017 August 1,Sharepoint Server 2013,KB4011073
15.0.4945.1000,July 2017 CU,2017 July 1,Sharepoint Server 2013,KB3213563
15.0.4937.1001,June 2017 CU,2017 June 1,Sharepoint Server 2013,KB3203428
15.0.4927.1001,May 2017 CU,2017 May 1,Sharepoint Server 2013,KB3191911
15.0.4919.1003,April 2017 CU,2017 April 1,Sharepoint Server 2013,KB3178727
15.0.4911.1001,March 2017 CU,2017 March 1,Sharepoint Server 2013,KB3172456
15.0.4893.1001,January 2017 CU,2017 January 1,Sharepoint Server 2013,KB3141479
15.0.4885.1000,December 2016 CU,2016 December 1,Sharepoint Server 2013,KB3128001
15.0.4875.1000,November 2016 CU,2016 November 1,Sharepoint Server 2013,KB3127930
15.0.4867.1002,October 2016 CU,2016 October 1,Sharepoint Server 2013,KB3118361
15.0.4859.1000,September 2016 CU,2016 September 1,Sharepoint Server 2013,KB3118271
15.0.4849.1000,August 2016 CU,2016 August 1,Sharepoint Server 2013,KB3115447
15.0.4841.1000,July 2016 CU,2016 July 1,Sharepoint Server 2013,KB3115290 
15.0.4833.1003,June 2016 CU,2016 June 1,Sharepoint Server 2013,KB3115171
15.0.4823.1003,May 2016 CU,2016 May 1,Sharepoint Server 2013,KB3115023
15.0.4815.1000,April 2016 CU,2016 April 1,Sharepoint Server 2013,KB3114935
15.0.4805.1000,March 2016 CU,2016 March 1,Sharepoint Server 2013,KB3114822
15.0.4797.1000,February 2016 CU,2016 February 1,Sharepoint Server 2013,KB3114722 
15.0.4787.1000,January 2016 CU,2016 January 1,Sharepoint Server 2013,KB3114492
15.0.4779.1000,December 2015 CU,2015 December 1,Sharepoint Server 2013,KB3114339
15.0.4771.1000,November 2015 CU,2015 November 1,Sharepoint Server 2013,KB3101368 
15.0.4763.1000,October 2015 CU,2015 October 1,Sharepoint Server 2013,KB3085488
15.0.4753.1000,September 2015 CU,2015 September 1,Sharepoint Server 2013,KB2975894 
15.0.4745.1001,August 2015 CU,2015 August 1,Sharepoint Server 2013,KB3055004
15.0.4737.1001,July 2015 CU,2015 July 1,Sharepoint Server 2013,KB3054931
15.0.4727.1001,June 2015 CU,2015 June 1,Sharepoint Server 2013,KB3054864
15.0.4719.1002,May 2015 CU,2015 May 1,Sharepoint Server 2013,KB3039747
15.0.4711.1000,April 2015 CU,2015 April 1,Sharepoint Server 2013,KB2965261
15.0.4701.1001,March 2015 CU,2015 March 1,Sharepoint Server 2013,KB2956159
15.0.4693.1001,February 2015 CU,2015 February 1,Sharepoint Server 2013,KB2920801
15.0.4675.1000,December 2014 CU,2014 December 1,Sharepoint Server 2013,KB2910945
15.0.4667.1000,November 2014 CU,2014 November 1,Sharepoint Server 2013,KB2899468 
15.0.4659.1001,October 2014 CU,2014 October 1,Sharepoint Server 2013,KB2889946
15.0.4649.1001,September 2014 CU,2014 September 1,Sharepoint Server 2013,KB2883087
15.0.4641.1001,August 2014 CU,2014 August 1,Sharepoint Server 2013,KB2883081
15.0.4631.1001,July 2014 CU,2014 July 1,Sharepoint Server 2013,KB2882999 
15.0.4617.1000,June 2014 CU,2014 June 1,Sharepoint Server 2013,KB2881063 
15.0.4615.1001,April 2014 CU,2014 April 1,Sharepoint Server 2013,KB2952166
15.0.4605.1000,April 2014 CU,2014 April 1,Sharepoint Server 2013,KB2863892
15.0.4571.1502,December 2013 CU,2013 December 1,Sharepoint Server 2013,KB2880551
15.0.4569.1000,December 2013 CU,2013 December 1,Sharepoint Server 2013,KB2817439
15.0.4551.1508,December 2013 CU,2013 December 1,Sharepoint Server 2013,KB2849961
15.0.4551.1005,October 2013 CU,2013 October 1,Sharepoint Server 2013,KB2825647
15.0.4551.1001,October 2013 CU,2013 October 1,Sharepoint Server 2013,KB2825674
15.0.4535.1000,August 2013 CU,2013 August 1,Sharepoint Server 2013,KB2817517
15.0.4517.1005,June 2013 CU,2013 June 1,Sharepoint Server 2013,KB2817414
15.0.4517.1003,June 2013 CU,2013 June 1,Sharepoint Server 2013,KB2817346
15.0.4505.1005,April 2013 CU,2013 April 1,Sharepoint Server 2013,KB2726992
15.0.4505.1002,April 2013 CU,2013 April 1,Sharepoint Server 2013,KB2751999 
15.0.4481.1005,March 2013 CU,2013 March 1,Sharepoint Server 2013,KB2767999
15.0.4433.1506,December 2012 CU,2012 December 1,Sharepoint Server 2013,KB2752001
15.0.4420.1017,October 2020 CU,2020 October 1,Sharepoint Server 2013,Download
15.0.4128.1014,October 2020 CU,2020 October 1,Sharepoint Server 2013,Download
14.0.7261.5000,October 2020 CU,2020 October 1,Sharepoint Server 2010,KB4486705
14.0.7260.5000,September 2020 CU,2020 September 1,Sharepoint Server 2010,KB4486662
14.0.7256.5000,August 2020 CU,2020 August 1,Sharepoint Server 2010,KB4484496
14.0.7255.5000,July 2020 CU,2020 July 1,Sharepoint Server 2010,KB4484459
14.0.7253.5000,June 2020 CU,2020 June 1,Sharepoint Server 2010,KB4484413
14.0.7250.5000,May 2020 CU,2020 May 1,Sharepoint Server 2010,KB4484389
14.0.7248.5000,April 2020 CU,2020 April 1,Sharepoint Server 2010,KB4484324
14.0.7246.5000,March 2020 CU,2020 March 1,Sharepoint Server 2010,KB4484241
14.0.7243.5000,December 2019 CU,2019 December 1,Sharepoint Server 2010,KB4484195
14.0.7241.5000,November 2019 CU,2019 November 1,Sharepoint Server 2010,KB4484162
14.0.7239.5000,October 2019 CU,2019 October 1,Sharepoint Server 2010,KB4484129
14.0.7237.5000,September 2019 CU,2019 September 1,Sharepoint Server 2010,KB4475603
14.0.7236.5000,August 2019 CU,2019 August 1,Sharepoint Server 2010,KB4475572
14.0.7235.5000,July 2019 CU,2019 July 1,Sharepoint Server 2010,KB4475535
14.0.7234.5000,June 2019 CU,2019 June 1,Sharepoint Server 2010,KB4475508
14.0.7233.5000,May 2019 CU,2019 May 1,Sharepoint Server 2010,KB4464569
14.0.7232.5000,April 2019 CU,2019 April 1,Sharepoint Server 2010,KB4464523
14.0.7231.5000,March 2019 CU,2019 March 1,Sharepoint Server 2010,KB4462228
14.0.7229.5000,February 2019 CU,2019 February 1,Sharepoint Server 2010,KB4462181
14.0.7228.5000,January 2019 CU,2019 January 1,Sharepoint Server 2010,KB4461622
14.0.7225.5000,December 2018 CU,2018 December 1,Sharepoint Server 2010,KB4461575
14.0.7224.5000,November 2018 CU,2018 November 1,Sharepoint Server 2010,KB4461528
14.0.7214.5000,October 2018 CU,2018 October 1,Sharepoint Server 2010,KB4461464
14.0.7213.5000,September 2018 CU,2018 September 1,Sharepoint Server 2010,KB4227169
14.0.7212.5000,August 2018 CU,2018 August 1,Sharepoint Server 2010,KB4032221
14.0.7210.5000,June 2018 CU,2018 June 1,Sharepoint Server 2010,KB4022204
14.0.7209.5000,May 2018 CU,2018 May 1,Sharepoint Server 2010,KB4022143
14.0.7197.5000,April 2018 CU,2018 April 1,Sharepoint Server 2010,KB4018361
14.0.7196.5000,March 2018 CU,2018 March 1,Sharepoint Server 2010,KB4011710
14.0.7192.5000,January 2018 CU,2018 January 1,Sharepoint Server 2010,KB4011616
14.0.7190.5000,November 2017 CU,2017 November 1,Sharepoint Server 2010,KB4011272
14.0.7189.5001,October 2017 CU,2017 October 1,Sharepoint Server 2010,KB4011195
14.0.7188.5001,September 2017 CU,2017 September 1,Sharepoint Server 2010,KB4011058
14.0.7186.5000,August 2017 CU,2017 August 1,Sharepoint Server 2010,KB2920815
14.0.7183.5000,July 2017 CU,2017 July 1,Sharepoint Server 2010,KB3213634
14.0.7182.5000,June 2017 CU,2017 June 1,Sharepoint Server 2010,KB3191905
14.0.7180.5001,April 2017 CU,2017 April 1,Sharepoint Server 2010,KB3191846
14.0.7179.5000,March 2017 CU,2017 March 1,Sharepoint Server 2010,KB3141545
14.0.7177.5000,December 2016 CU,2016 December 1,Sharepoint Server 2010,KB3128036
14.0.7176.5000,November 2016 CU,2016 November 1,Sharepoint Server 2010,KB3127957
14.0.7174.5001,October 2016 CU,2016 October 1,Sharepoint Server 2010,KB3118387
14.0.7173.5000,September 2016 CU,2016 September 1,Sharepoint Server 2010,KB3115473
14.0.7171.5002,July 2016 CU,2016 July 1,Sharepoint Server 2010,KB3115319
14.0.7170.5000,June 2016 CU,2016 June 1,Sharepoint Server 2010,KB3115245
14.0.7169.5000,May 2016 CU,2016 May 1,Sharepoint Server 2010,KB3115126
14.0.7168.5000,April 2016 CU,2016 April 1,Sharepoint Server 2010,KB3114995 
14.0.7167.5000,March 2016 CU,2016 March 1,Sharepoint Server 2010,KB3114882 
14.0.7165.5000,January 2016 CU,2016 January 1,Sharepoint Server 2010,None
14.0.7164.5000,December 2015 CU,2015 December 1,Sharepoint Server 2010,KB3114408
14.0.7162.5000,November 2015 CU,2015 November 1,Sharepoint Server 2010,KB3101534
14.0.7160.5000,October 2015 CU,2015 October 1,Sharepoint Server 2010,KB3085603
14.0.7157.5000,September 2015 CU,2015 September 1,Sharepoint Server 2010,KB3085521
14.0.7155.5000,August 2015 CU,2015 August 1,Sharepoint Server 2010,KB3055040
14.0.7153.5000,July 2015 CU,2015 July 1,Sharepoint Server 2010,KB3054975
14.0.7151.5000,June 2015 CU,2015 June 1,Sharepoint Server 2010,KB3054880 
14.0.7149.5000,May 2015 CU,2015 May 1,Sharepoint Server 2010,KB3015569
14.0.7147.5000,April 2015 CU,2015 April 1,Sharepoint Server 2010,KB2965294 
14.0.7145.5000,March 2015 CU,2015 March 1,Sharepoint Server 2010,KB2956201
14.0.7143.5001,February 2015 CU,2015 February 1,Sharepoint Server 2010,KB2899558
14.0.7140.5000,December 2014 CU,2014 December 1,Sharepoint Server 2010,KB2899583
14.0.7137.5000,November 2014 CU,2014 November 1,Sharepoint Server 2010,KB2899478 
14.0.7134.5000,October 2014 CU,2014 October 1,Sharepoint Server 2010,KB2899490 
14.0.7132.5000,September 2014 CU,2014 September 1,Sharepoint Server 2010,KB2883103
14.0.7130.5000,August 2014 CU,2014 August 1,Sharepoint Server 2010,KB2889831
14.0.7128.5001,July 2014 CU,2014 July 1,Sharepoint Server 2010,KB2883005
14.0.7125.5002,June 2014 CU,2014 June 1,Sharepoint Server 2010,KB2880972
14.0.7123.5000,April 2014 CU,2014 April 1,Sharepoint Server 2010,KB2952166
14.0.7121.5004,April 2014 CU,2014 April 1,Sharepoint Server 2010,KB2878250 
14.0.7121.5000,April 2014 CU,2014 April 1,Sharepoint Server 2010,KB2878270
14.0.7116.5000,February 2014 CU,2014 February 1,Sharepoint Server 2010,KB2863913 
14.0.7113.5000,December 2013 CU,2013 December 1,Sharepoint Server 2010,KB2849971
14.0.7110.5000,October 2013 CU,2013 October 1,Sharepoint Server 2010,KB2825786
14.0.7106.5002,August 2013 CU,2013 August 1,Sharepoint Server 2010,KB2825949
14.0.7106.5000,August 2013 CU,2013 August 1,Sharepoint Server 2010,KB2817570
14.0.7102.5004,June 2013 CU,2013 June 1,Sharepoint Server 2010,KB2817527
14.0.7102.5000,June 2013 CU,2013 June 1,Sharepoint Server 2010,KB2817392
14.0.7015.1000,April 2013 CU,2013 April 1,Sharepoint Server 2010,KB2687453
14.0.7011.1000,April 2013 CU,2013 April 1,Sharepoint Server 2010,Download
14.0.6137.5000,April 2013 CU,2013 April 1,Sharepoint Server 2010,KB2794728
14.0.6134.5003,February 2013 CU,2013 February 1,Sharepoint Server 2010,Blog Post
14.0.6134.5000,February 2013 CU,2013 February 1,Sharepoint Server 2010,KB2760791
14.0.6131.5003,December 2012 CU,2012 December 1,Sharepoint Server 2010,KB2596955
14.0.6131.5001,December 2012 CU,2012 December 1,Sharepoint Server 2010,KB2596957
14.0.6129.5003,October 2012 CU,2012 October 1,Sharepoint Server 2010,KB2687564
14.0.6129.5000,October 2012 CU,2012 October 1,Sharepoint Server 2010,KB2687566
14.0.6126.5000,August 2012 CU,2012 August 1,Sharepoint Server 2010,KB2687355
14.0.6123.5002,June 2012 CU,2012 June 1,Sharepoint Server 2010,KB2598373
14.0.6120.5006,April 2012 CU,2012 April 1,Sharepoint Server 2010,KB2598321
14.0.6120.5000,April 2012 CU,2012 April 1,Sharepoint Server 2010,Removed
14.0.6117.5002,February 2012 CU,2012 February 1,Sharepoint Server 2010,KB2597132
14.0.6114.5000,December 2011 CU,2011 December 1,Sharepoint Server 2010,KB2596998
14.0.6112.5000,October 2011 CU,2011 October 1,Sharepoint Server 2010,KB2596508
14.0.6109.5002,August 2011 CU,2011 August 1,Sharepoint Server 2010,KB2553048
14.0.6109.5000,August 2011 CU,2011 August 1,Sharepoint Server 2010,KB2553117
14.0.6106.5002,June 2011 CU,2011 June 1,Sharepoint Server 2010,KB2536601
14.0.6105.5000,June 2011 CU,2011 June 1,Sharepoint Server 2010,KB2536601
14.0.6029.1000,April 2011 CU,2011 April 1,Sharepoint Server 2010,KB2460058
14.0.5138.5000,April 2011 CU,2011 April 1,Sharepoint Server 2010,KB2512800
14.0.5136.5002,February 2011 CU,2011 February 1,Sharepoint Server 2010,KB2475878
14.0.5130.5002,December 2010 CU,2010 December 1,Sharepoint Server 2010,KB2459257
14.0.5128.5000,October 2010 CU,2010 October 1,Sharepoint Server 2010,KB2394320
14.0.5123.5000,August 2010 CU,2010 August 1,Sharepoint Server 2010,KB2352342
14.0.5114.5003,June 2010 CU,2010 June 1,Sharepoint Server 2010,KB983497 